,JOB_ID,ROUTE_ID,CNSLDTN_ID,FILL_DC_CD,DC_CD,ASN_TYPE_CD,ASN_TYPE_DESC,DELIVERY_TYPE,CARRIER_SCAC_NAME,CARRIER_SCAC_CD,DLVRY_ACTL_DATETIME,DELIVERY_SEQ,TOTAL_RATE,TOPSIDE_COST,LASTMILE_TOTAL_COST,LASTMILE_BASE_COST,LASTMILE_FUEL_COST,LASTMILE_MISC_COST,STOP_COUNT_VAL_ROUTE_LVL,TOTE_COUNT_VAL_ROUTE_LVL,STOP_COUNT_VAL,TOTE_COUNT_VAL,ROUTE_COUNT_VAL,DISTANCE_VAL
3390,8162-G05-035-414946-260505,8162_G05,C_414946,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-05 23:59:59,035,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
3391,Z-3559465,8162_G02,,8162,XD_8162_OH_CLEVELAND.YZER,RC,Route Chrg,REG,Yzer LLC,YZER,2026-05-01 23:59:59,000,430.82,0.0,430.82,375.0,42.69,13.13,,,,,1.0,1.0
3392,8162-H06-010-151572-260505,8162_H06,C_151568,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-05 23:59:59,010,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0
3393,8162-H01-015-444602-260504,8162_H01,C_444763,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-04 23:59:59,015,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0
3394,8162-G06-025-289532-260504,8162_G06,C_289522,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-04 23:59:59,025,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0
3395,Z-3587911,8163_HX2,,8162,XD_8162_OH_CLEVELAND.YZER,RC,Route Chrg,REG,Yzer LLC,YZER,2026-05-12 23:59:59,000,,0.0,,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0
3396,8162-G01-020-443013-260504,8162_G01,C_890860,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-04 23:59:59,020,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
3397,Z-3592898,8163_G02,,8162,XD_8162_OH_CLEVELAND.YZER,RC,Route Chrg,REG,Yzer LLC,YZER,2026-05-13 23:59:59,000,,0.0,,,0.0,,6.0,119.0,6.0,119.0,1.0,1.0
3398,Z-3596167,8163_GX4,,8162,XD_8162_OH_CLEVELAND.YZER,RC,Route Chrg,REG,Yzer LLC,YZER,2026-05-14 23:59:59,000,,0.0,,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0
3399,Z-3600180,8163_H04,,8162,XD_8162_OH_CLEVELAND.YZER,RC,Route Chrg,REG,Yzer LLC,YZER,2026-05-15 23:59:59,000,,0.0,,,0.0,,7.0,18.0,7.0,18.0,1.0,1.0
3400,Z-3613238,8163_G01,,8162,XD_8162_OH_CLEVELAND.YZER,RC,Route Chrg,REG,Yzer LLC,YZER,2026-05-20 23:59:59,000,,0.0,,,0.0,,5.0,20.0,5.0,20.0,1.0,1.0
3401,8162-G01-015-273236-260505,8162_G01,C_273236,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-05 23:59:59,015,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
3402,8162-G09-001-289513-260505,8162_G09,C_289513,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-05 23:59:59,001,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
3403,8162-H03-020-415745-260529,8162_H03,C_415745,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-29 23:59:59,020,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
3404,8162-G07-030-995737-260528,8162_G07,C_995737,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-28 23:59:59,030,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
3405,8162-H02-045-624058-260529,8162_H02,C_624058,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-29 23:59:59,045,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
3406,8162-G02-015-244535-260526,8162_G02,C_731867,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-26 23:59:59,015,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
3407,8163-G06-010-151559-260528,8163_G06,C_151558,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-28 23:59:59,010,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0
3408,8162-G05-006-034806-260526,8162_G05,C_061312,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-26 23:59:59,006,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
3409,8162-H01-040-093505-260528,8162_H01,C_093505,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-28 23:59:59,040,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0
3410,8162-H01-040-093494-260528,8162_H01,C_093505,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-28 23:59:59,040,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
3411,8163-G06-015-151561-260526,8163_G06,C_065363,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-26 23:59:59,015,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0
3412,8162-G05-045-237260-260528,8162_G05,C_245718,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-28 23:59:59,045,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0
3413,8162-H03-020-415745-260527,8162_H03,C_415745,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-27 23:59:59,020,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
3414,8162-H02-005-407839-260527,8162_H02,C_407839,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-27 23:59:59,005,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
